id	titre	typeCollectif	episodesReperes	canon	limitesEtIncertitudes	carteProposee	identifiantExistant	origineAjustements	sources
org-nettoyeurs	Les Nettoyeurs	institution	S06E03 ; S06E19	Chargés par le Tribunal de préserver le secret magique, ils peuvent modifier événements et souvenirs. Après le dragon de Wyatt, ils effacent son existence avant que les sœurs obtiennent son retour. Dans le procès de Darryl, ils fabriquent une version des événements qui le fait condamner.	Leur mission dite neutre peut léser un innocent. Leur apparition tardive ne justifie pas rétroactivement toutes les crises antérieures. Ne pas déduire une intervention à chaque sort ni une invincibilité universelle.	Les Nettoyeurs — Agents du secret magique, capables de modifier des événements et les souvenirs qui s’y rattachent. Leurs interventions relèvent du Tribunal.	org-nettoyeurs	La fiche décrivait l’effacement de Wyatt. Ajout du lien de subordination au Tribunal et de la réécriture incriminant Darryl ; sources The_Cleaners et transcription S06E19.	https://charmed.fandom.com/wiki/The_Cleaners [extrait_indexe_secondaire] ; https://www.springfieldspringfield.co.uk/view_episode_scripts.php?episode=s06e19&tv-show=charmed [transcription_non_officielle_passages_consultes]
org-tribunal	Le Tribunal	institution	S06E19	Conseil mixte de Fondateurs et de démons : Adair et Aramis, Thrask et Crill dans la page secondaire. Gideon défend les sœurs ; Barbas est leur adversaire au procès, pas un juge. L’affaire concerne les modifications des Nettoyeurs et le sort de Darryl. Le procès examine aussi l’usage des pouvoirs des sœurs.	Les noms des juges reposent sur le wiki ; la transcription consultée confirme la composition mixte, les rôles judiciaires et les événements réécrits. La plaisanterie sur quatre juges ne définit pas une règle de départage. Exclure le nouveau Tribunal des comics.	Le Tribunal — Conseil de Fondateurs et de démons chargé du secret magique. Examine des différends concernant l’usage de la magie et les interventions des Nettoyeurs.	org-tribunal	La fiche décrivait le conseil mixte. Ajout des fonctions distinctes des juges, de Gideon et de Barbas ; The_Tribunal et transcription S06E19. Maintien de l’exclusion des comics.	https://charmed.fandom.com/wiki/The_Tribunal [extrait_indexe_secondaire] ; https://www.springfieldspringfield.co.uk/view_episode_scripts.php?episode=s06e19&tv-show=charmed [transcription_non_officielle_passages_consultes]
org-confrerie	Confrérie de l’Épine — Brotherhood of the Thorn	confrérie	S03E19 ; S03E20	Société de démons d’élite au service de la Source, notamment Raynor, Vornac et Belthazor. Elle infiltre les affaires humaines. Lors du retour de Cole, Klea vérifie son récit ; l’appartenance passée ne suffit donc pas à garantir la confiance. Un serment de sang relie les membres.	L’athame et le serment ne donnent pas les pouvoirs de tous les membres. Le wiki n’est pas cohérent sur tous les survivants, notamment Klea et Jassa : destruction complète non retenue. Traduction française de travail à contrôler au doublage.	Confrérie de l’Épine — Société démoniaque d’élite pratiquant l’infiltration et liée par un serment de sang. Dispose de relais dans les affaires humaines.	org-confrerie	La fiche décrivait Cole, Vornac et Klea. Ajout du recrutement élitiste, de l’infiltration économique et du serment ; Brotherhood_of_the_Thorn. Réserve nouvelle sur les survivants et maintien de la réserve de traduction.	https://charmed.fandom.com/wiki/Brotherhood_of_the_Thorn [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/The_Demon_Who_Came_in_from_the_Cold/Plot [extrait_indexe_secondaire]
org-avatars	Les Avatars	collectif	S05E12 ; S07E12 ; S07E13	Collectif notamment représenté par Alpha, Beta et Gamma ; Cole puis Leo le rejoignent à des périodes différentes. Leur puissance commune permet des altérations de réalité et du temps. Leur Utopia supprime le conflit en altérant les réactions et en éliminant les personnes perturbatrices. La mort de Beta affaiblit l’ensemble.	Une réserve collective sollicitée ou diminuée n’est pas une puissance illimitée. Adhésion et simple sympathie restent distinctes. Utopia ne prouve pas un libre consentement ; ne pas importer les morts et remaniements des comics.	Les Avatars — Collectif partageant une réserve de puissance qui permet de transformer la réalité. Cherche à dépasser le conflit entre le Bien et le Mal.	org-avatars	La fiche décrivait Utopia et le consentement. Ajout de la réserve collective, des adhésions à des périodes distinctes et de l’affaiblissement lié à Beta ; Avatars et Beta.	https://charmed.fandom.com/wiki/Avatars [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Beta [extrait_indexe_secondaire]
org-fondateurs	Les Fondateurs — The Elders	institution	S05E22 ; S05E23 ; S06E23 ; S07E16	Conseil supervisant les Êtres de lumière et leurs missions. Les Titans menacent effectivement ses membres ; Leo accède à cette fonction en fin de saison 5. Les projets de Gideon et l’épreuve ultérieure de Leo montrent que la fonction ne produit pas une volonté unanime.	La fiche collective elders existe déjà et contient des transcriptions mieux vérifiées que cette nouvelle recherche. Conserver ces preuves ; ne pas les remplacer par le wiki. Un membre ne représente pas nécessairement une décision du Conseil.	Les Fondateurs — Autorité magique supervisant les Êtres de lumière. Confient des missions et interviennent dans leur statut ; leurs membres peuvent être en désaccord.	elders	Fiche collective déjà documentée dans personnages.json. Proposition de classement et de liaison ; préserver ses observations et sources plus fortes. The_Elders sert de complément de repérage, sans remplacer les faits déjà revus.	https://charmed.fandom.com/wiki/The_Elders [extrait_indexe_secondaire]
org-etres-lumiere	Réseau des Êtres de lumière	réseau de service	S03E11	Des protecteurs guident des sorcières sous la supervision des Fondateurs. Natalie intervient auprès des sœurs lorsque Leo lui confie temporairement leur encadrement face à Eames. Leur service comporte protection, conseils et transmission ; l’appel d’un protégé permet habituellement un contact.	Intitulé descriptif : l’espèce entière n’est pas une personne morale unique. Attribution des protégés, disponibilité, statut et pouvoirs du représentant doivent être datés. L’appel n’établit pas une arrivée garantie dans toutes les dimensions ou circonstances.	Réseau des Êtres de lumière — Protecteurs et guides de sorcières, organisés autour de missions et de protégés confiés à chacun.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Whitelighter [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Natalie_%28Whitelighter%29 [extrait_indexe_secondaire]
org-ecole-magie	École de magie	institution	S06E14 ; S07E02 ; S08E22	Institution d’enseignement magique dirigée notamment par Gideon, puis prise en charge par Paige et Leo selon la période. Paige défend son maintien au début de la saison 7. Les enseignants et les élèves constituent un collectif de formation distinct du bâtiment. La fin de la série montre Leo y enseignant.	L’accès au lieu ne donne pas automatiquement la coopération de toute l’école. Dater fermeture, occupation et direction. Exclure les ailes de la Halliwell Academy et les cursus tirés des romans ou comics. Les protections ne sont pas une invulnérabilité des occupants.	École de magie — Institution réunissant enseignants, élèves et connaissances pour l’apprentissage de la magie. Sa direction et ses activités varient selon la période.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Magic_School [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/The_Bare_Witch_Project/Plot [extrait_indexe_secondaire]
org-conseil	Le Conseil démoniaque	conseil	S02E22	Conseil de cinq démons qui charge un Dragon Warlock et un génie de prendre les sœurs au piège des vœux. Les commanditaires dirigent une opération indirecte et peuvent rappeler leur intermédiaire à l’ordre.	L’assimilation ultérieure à la Triade est une hypothèse de continuité du wiki et une annotation de transcription, pas une identité explicitement établie par une réplique. Le conseil des couronnements de saison 4 ne doit pas être fusionné sans arbitrage.	Conseil démoniaque — Groupe de dirigeants démoniaques qui commande des opérations et emploie des intermédiaires contre les Charmed Ones.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Council [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Be_Careful_What_You_Witch_For/Script [extrait_indexe_secondaire]
org-triade	La Triade	conseil	S03E07 ; S08E16 ; S08E21 ; S08E22	Commanditaires de Belthazor en saison 3, puis organisateurs de la manipulation de Christy et Billie en saison 8. Asmodeus, Baliel et Candor sont associés aux incarnations tardives. Les destructions corporelles et formes spirituelles doivent être distinguées. Dumain sert leur projet et espère être admis : ce n’est pas la même position qu’un membre.	Deux fiches triad existent déjà dans personnages.json et magie-demons.json. Conserver la distinction membres, corps et périodes ainsi que leurs sources de transcription. Aucun automatisme d’immortalité ou de destruction définitive à partir d’une seule confrontation.	La Triade — Groupe dirigeant démoniaque agissant par ses agents et ses manipulations. La cohésion de ses membres contribue à sa puissance.	triad	Deux occurrences dans personnages.json et magie-demons.json. Ajouter le repérage des membres tardifs et la distinction Dumain serviteur/candidat à l’admission ; The_Triad. Conserver les observations et transcriptions existantes sur les formes spirituelles.	https://charmed.fandom.com/wiki/The_Triad [extrait_indexe_secondaire]
org-ordre	L’Ordre — The Order	culte	S06E12	Culte démoniaque persuadé que Wyatt est la réincarnation de son chef. Ses acolytes cherchent à altérer sa moralité avec un sceptre et à le soustraire à sa famille. Leur chef intérimaire et leurs subterfuges ne suffisent pas à obtenir l’adhésion de l’enfant ; des acolytes prennent la fuite.	La réincarnation est leur croyance, pas un fait confirmé. Une page de Livre des Ombres signalée comme non utilisée à l’écran évoque des capacités et un contre-moyen : elle ne vaut pas preuve télévisée. Ne pas conclure à l’extinction complète du culte.	L’Ordre — Culte démoniaque recherchant la réincarnation de son dirigeant. Dispose d’acolytes et de moyens destinés à influencer la moralité de sa cible.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Order [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Prince_Charmed [extrait_indexe_secondaire]
