nom	sources	episodes	connaissances	limites	carte
Livre des Ombres	Book_of_Shadows	S01E01 S01E03 S03E13 S05E08 S07E21	Livre familial de connaissances, formules et recettes transmis depuis Melinda Warren. Ses défenses dépendent notamment de l'état des sœurs : la corruption de Bride and Gloom affecte le livre ; Bacarra contourne sa protection avec une potion masquant le Bien ; Zankou exploite leur déstabilisation. L'exception de S01E03 permet déjà de toucher et déplacer le livre jusqu'au seuil.	La protection n'est donc ni une impossibilité absolue de vol ni un détecteur infaillible d'identité. Possession, lecture et exécution d'une formule restent distinctes. Aucune encyclopédie exhaustive ni indestructibilité universelle établie. Les pouvoirs ajoutés dans les comics sont écartés.	Livre familial de connaissances magiques, de formules et de recettes, doté de protections contre le mal dont l'efficacité dépend du contexte.
Grimoire de la Source	The_Grimoire;Womb_Raider/Script	S04E19 S04E21	Livre maléfique associé aux rites de couronnement et de transfert de la Source. Il se défend contre le Bien et résiste à la potion essayée par Piper. Le transfert envisagé avec le Sorcier dépend d'un rite, du sang et d'une incantation, pas de la seule possession. Après les événements de Womb Raider, Leo emporte le livre pour le cacher dans les Andes occidentales.	La résistance constatée ne prouve pas une invulnérabilité à tout moyen. Le rite de transfert n'est pas accompli comme prévu : ne pas le déclarer réussi. Sa dissimulation affecte sa disponibilité ultérieure. Exclure les développements avec Rennek issus des comics.	Livre de magie maléfique lié aux rites de la Source. Il se protège du Bien et résiste aux moyens de destruction essayés contre lui.
Cristaux de protection, d'alarme et de confinement	Crystal_Cage;Sight_Unseen/Script;Womb_Raider/Script	S03E05 S04E13 S07E08	Prue décrit des cristaux de sidérite enchantés formant un réseau : l'entrée d'une cible déclenche des décharges et fait luire un cristal témoin. Le corpus local documente aussi trois cristaux protecteurs autour de Miss Donovan en S07E08, et l'activation puis le retrait d'un cristal en S04E13. Ces configurations doivent rester distinctes.	Cinq cristaux ne constituent pas un nombre universel. Le dialogue S03E05 soulève le risque pour un humain ou Kit sans établir leur immunité. Ne pas confondre alarme, barrière et cage. La disposition, l'enchantement et le maintien du dispositif comptent ; pas de rayon global inventé.	Cristaux enchantés pour former des dispositifs d'alarme, de protection ou de confinement. Leur préparation et leur disposition déterminent l'effet produit.
Cristal de localisation	Scry_Hard;Witch_Wars_%28episode%29	S06E21 S07E17	Pendule employé sur une carte pour une recherche magique. Dans Witch Wars, une bague de la grand-mère de Tali sert de lien pour rechercher son amulette. Dans Scry Hard, la recherche des parents miniaturisés échoue, puis Piper déplace le cristal pour désigner le manoir.	Un signal peut être provoqué par une personne : il ne garantit ni la sécurité du lieu ni la réussite spontanée du procédé. Le lien pertinent dépend de la recherche ; le sang n'est pas une condition universelle. Ces épisodes sont des précédents, pas des dates d'invention.	Pendule utilisé avec une carte géographique et un lien pertinent pour mener une recherche magique.
Bagues de Cupidon — Cupidon S02 et Coop S08	Cupid_Ring	S02E10 S08E17 S08E22	La bague du Cupidon de Heartbreak City intervient dans la perception et l'action sur les liens amoureux ; Drazi la vole et détourne son usage. Celle de Coop permet des voyages liés à l'amour, notamment avec Piper et Leo dans Forever Charmed. La destination suit le lien affectif et ne se comporte pas comme une sélection précise de date.	Conserver deux variantes chronologiques : le voyage temporel S08 ne prouve pas cette fonction dès S02. Prêt et vol sont possibles ; ne pas réserver l'usage à un propriétaire autorisé. Exclure les propriétés décrites seulement dans les comics. Le nombre maximal de voyageurs n'est pas établi.	Variante S02 : bague permettant de percevoir et d'influencer des liens amoureux, susceptible d'être détournée. Variante Coop S08 : bague permettant notamment de voyager dans le temps en suivant un lien d'amour, avec une destination parfois imprécise.
Boîte du Hollow	Hollow_Box	S04E13 S08E21	Contenant du Hollow, entité qui absorbe la magie du Bien comme du Mal. En S04E13, son inscription participe au confinement par une coopération du Bien et du Mal. En S08E21, une invocation atteint le Hollow sans transport préalable de la boîte : contenu, contenant et mode d'appel ne sont pas identiques.	La transcription S04E13 consultée directement soutient la coopération et l'inscription. Elle ne justifie pas une maîtrise automatique par le porteur. Distinguer renvoi du Hollow et devenir des pouvoirs absorbés ; le cas de Cole appelle une lecture contextualisée. Ne pas généraliser la méthode S04 à toute résolution S08.	Contenant lié au confinement du Hollow, une entité absorbant la magie. Son inscription intervient dans un rituel de confinement ; sa possession ne donne pas le contrôle de l'entité.
Anneau d'inspiration	Ring_of_Inspiration	S04E09	Anneau créé par une magie bénéfique pour voir et capturer des Muses et canaliser leur inspiration. Devlin le détourne. Les Muses enfermées peuvent être libérées ; la récupération de l'objet n'est pas en elle-même une destruction de ses capacités.	L'inspiration n'est ni une connaissance exacte de tous les événements ni une garantie de création réussie. Capacité maximale, durée de captivité et résistance exhaustive non établies. Distinguer les Muses effectivement capturées des Muses simplement présentes.	Anneau permettant de voir et d'enfermer des Muses pour canaliser leur inspiration. Les Muses captives peuvent être libérées.
Arbalète et projectiles d'Être des ténèbres	Darklighter_Crossbow;Blinded_by_the_Whitelighter/Script;Siren_Song/Script	S01E21 S03E11 S05E04	Arbalète associée à des projectiles empoisonnés menaçant les Êtres de lumière. Eames s'empare de l'arme ; Natalie est blessée par contact direct avec une flèche. Le poison n'agit pas nécessairement immédiatement. Le dialogue de Siren Song relève le risque pour Paige lié à son ascendance d'Être de lumière.	Arme, projectile, poison, blessure et effet doivent être suivis séparément. Un vol n'empêche pas tout usage par un autre être. Ne pas attribuer les pouvoirs d'Eames à l'arbalète. Aucun délai de mort, stock infini ou remède universel établi ici.	Arbalète utilisant des projectiles empoisonnés particulièrement dangereux pour les Êtres de lumière. Une flèche peut aussi blesser par contact direct.
Bague protectrice de Victor	Protection_Ring	S01E03	Bague à pierres de chrysolite portée par Victor dans Thank You for Not Morphing. Elle le protège contre les conséquences mortelles de la formule de sécurité employée par ses filles, sans empêcher toute douleur.	Ce précédent ne vaut pas immunité à toute magie ou toute blessure. La provenance complète, les modalités d'enchantement et la disponibilité après l'épisode restent à préciser.	Bague protectrice portée par Victor, capable de le préserver de la formule de sécurité des sœurs sans supprimer toute douleur.
Bague d'immunité de Nicholas	Ring_of_Immunity	S01E17 S02E01	Nicholas obtient sous la contrainte la bénédiction de Patty sur une bague qui doit le protéger des pouvoirs de ses filles. Le voyage en 1975 permet de défaire cette bénédiction ; la bague ne le protège plus au présent. Son retour en Witch Trial ne démontre pas une protection restaurée.	L'immunité dépend de cet enchantement particulier et de sa chronologie. Ne pas la transformer en protection contre tous les êtres ou tous les dommages. La variante enchantée et la variante privée de bénédiction ont des propriétés différentes.	Bague dont la bénédiction de Patty protège Nicholas des pouvoirs de ses filles. Cette protection peut être annulée en agissant sur l'enchantement.
